"id","username","profileURL","rating","title","review_url","asin","content","date","format_strip","verified","helpful","videoURL","video_cover_url","imgs","normalImgs"
"R3Q871J16DCGF6","shelby Jablonski","https://www.amazon.com/gp/profile/amzn1.account.AFG44ARCVZ5F4V44M23RSMMOTMNA/ref=cm_cr_arp_d_gw_btm?ie=UTF8","5","","https://www.amazon.com/gp/customer-reviews/R3Q871J16DCGF6/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B0D79QXMN4","B0D79QXMN4","Fairly easy to put together, brakes are a little complicate. All in all a nice riding bike. I did buy a different seat for it. More comfortable.","Reviewed in the United States on May 22, 2024","Color: Pink<i class=""a-icon a-icon-text-separator"" role=""img"" aria-label=""|""></i>Size: 26-inch","Verified Purchase","2 people found this helpful","","","[]","[]"
"RUW479ZZ8RSR0","Steve &amp; April","https://www.amazon.com/gp/profile/amzn1.account.AH5WXA6MR2SJPKCVZ4NUIYUQVK3Q/ref=cm_cr_arp_d_gw_btm?ie=UTF8","5","","https://www.amazon.com/gp/customer-reviews/RUW479ZZ8RSR0/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B0D79QXMN4","B0D79QXMN4","Very nice bike. Perfect size for a man, or a young man. Looks great to. Shipped fast as well. Packaged great. Ty","Reviewed in the United States on May 27, 2024","Color: Blue<i class=""a-icon a-icon-text-separator"" role=""img"" aria-label=""|""></i>Size: 26-inch","Verified Purchase","One person found this helpful","","","[]","[]"
"RYI5O6A18CISI","Mena","https://www.amazon.com/gp/profile/amzn1.account.AGNEMVP2SLXUABOSTDVIHGIAPLFA/ref=cm_cr_arp_d_gw_btm?ie=UTF8","4","","https://www.amazon.com/gp/customer-reviews/RYI5O6A18CISI/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B0D79QXMN4","B0D79QXMN4","The bike is fairly nice for the price.  I haven't ridden a bike in a long time, so I'm not used to it.  The seat is not comfortable, but I was told my behind will get used to it after a while.  The assembly wasn't bad, but be careful of the front break assembly.  Have to loosen it to get the front wheel on.  I loosened it too much and it kind of fell apart and was a pain to get back together properly.  I noticed this problem in a couple of reviews, after I assembled it.","Reviewed in the United States on June 6, 2022","Color: Blue<i class=""a-icon a-icon-text-separator"" role=""img"" aria-label=""|""></i>Size: 26-inch","Verified Purchase","6 people found this helpful","","","[]","[]"
"R3EWGXRP0WA4OA","Laiylah ","https://www.amazon.com/gp/profile/amzn1.account.AHFSAAQRNC4BTXBL5FCCLBU2AYLA/ref=cm_cr_arp_d_gw_btm?ie=UTF8","5","","https://www.amazon.com/gp/customer-reviews/R3EWGXRP0WA4OA/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B0D79QXMN4","B0D79QXMN4","Nice bike","Reviewed in the United States on May 30, 2024","Color: Purple<i class=""a-icon a-icon-text-separator"" role=""img"" aria-label=""|""></i>Size: 24-inch","Verified Purchase","","","","[]","[]"
"RU9J8E1642R0A","Deanna","https://www.amazon.com/gp/profile/amzn1.account.AHLLEZDLJU2YTI7Y5XFQUZGP2PVQ/ref=cm_cr_arp_d_gw_btm?ie=UTF8","1","","https://www.amazon.com/gp/customer-reviews/RU9J8E1642R0A/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B0D79QXMN4","B0D79QXMN4","The frame was all scratched the brakes were messed up and are missing something the gear shifter is cracked and does not work.  In the end I would never buy this bike again.","Reviewed in the United States on June 3, 2024","Color: Blue<i class=""a-icon a-icon-text-separator"" role=""img"" aria-label=""|""></i>Size: 26-inch","Verified Purchase","","","","[]","[]"
"REUE3FJX82J6Z","James","https://www.amazon.com/gp/profile/amzn1.account.AHKNPR5XZEKBICUFWA2PNJ5CGTOA/ref=cm_cr_arp_d_gw_btm?ie=UTF8","3","","https://www.amazon.com/gp/customer-reviews/REUE3FJX82J6Z/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B0D79QXMN4","B0D79QXMN4","The only issue I had was that the instructions were hard to understand. I ended up braking the front brakes installing the front wheel and had to take the bike to a shop to get it fixed.","Reviewed in the United States on June 8, 2024","Color: Blue<i class=""a-icon a-icon-text-separator"" role=""img"" aria-label=""|""></i>Size: 26-inch","Verified Purchase","","","","[]","[]"
"R2XJTEEUQC2GYG","George Landinez","https://www.amazon.com/gp/profile/amzn1.account.AGGSEIN4ZCD7QK2J7WN3SVOKKRYA/ref=cm_cr_arp_d_gw_btm?ie=UTF8","5","","https://www.amazon.com/gp/customer-reviews/R2XJTEEUQC2GYG/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B0D79QXMN4","B0D79QXMN4","It is still too big for my grandson and have to wait a little to try it.","Reviewed in the United States on May 14, 2024","Color: Red<i class=""a-icon a-icon-text-separator"" role=""img"" aria-label=""|""></i>Size: 24-inch","Verified Purchase","One person found this helpful","","","[]","[]"
"RZ6TLY0EA9Y0R","Allen Richards","https://www.amazon.com/gp/profile/amzn1.account.AGNRGCRN6I5XX4UXLAZUZ2NGZYRA/ref=cm_cr_arp_d_gw_btm?ie=UTF8","5","","https://www.amazon.com/gp/customer-reviews/RZ6TLY0EA9Y0R/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B0D79QXMN4","B0D79QXMN4","My son loves it","Reviewed in the United States on May 29, 2024","Color: Red<i class=""a-icon a-icon-text-separator"" role=""img"" aria-label=""|""></i>Size: 24-inch","Verified Purchase","","","","[]","[]"
"R35CPVUEXFVZ7S","Abrar Nur E Faiaz","https://www.amazon.com/gp/profile/amzn1.account.AFE6Y45KBPPDXVHSGHTN2PVCDVKA/ref=cm_cr_arp_d_gw_btm?ie=UTF8","4","","https://www.amazon.com/gp/customer-reviews/R35CPVUEXFVZ7S/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B0D79QXMN4","B0D79QXMN4","Great product. My only concern is this- they dont provide any tools to assemble the cycle. While I did have the tools in my disposal, many people might not have… just a food for thought.","Reviewed in the United States on June 5, 2024","Color: Blue<i class=""a-icon a-icon-text-separator"" role=""img"" aria-label=""|""></i>Size: 26-inch","Verified Purchase","","","","[]","[]"
"RJ1I0AQ7IAHIN","Sonia","https://www.amazon.com/gp/profile/amzn1.account.AHXWSDBDSPDFZMZQIVXNCFX3MN7Q/ref=cm_cr_arp_d_gw_btm?ie=UTF8","3","","https://www.amazon.com/gp/customer-reviews/RJ1I0AQ7IAHIN/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B0D79QXMN4","B0D79QXMN4","Upon assembly we were adjusting the seat and the neck fell into the seat frame and couldn't get it out it was stuck in there real good so there was no way to fix so my son didn't get to ride it. I think if they made it so the seat tube doesn't fall clear down but makes it to wear you can easily grab it back then it might of been better","Reviewed in the United States on May 24, 2024","Color: Blue<i class=""a-icon a-icon-text-separator"" role=""img"" aria-label=""|""></i>Size: 26-inch","Verified Purchase","","","","[]","[]"
