"id","username","profileURL","rating","title","review_url","asin","content","date","format_strip","verified","helpful","videoURL","video_cover_url","imgs","normalImgs"
"RJ82VI6PIICT4","Nazmul Haque","https://www.amazon.com/gp/profile/amzn1.account.AEAPA72BJMQRRBBUCFJI7IGIEPIA/ref=cm_cr_arp_d_gw_btm?ie=UTF8","5","","https://www.amazon.com/gp/customer-reviews/RJ82VI6PIICT4/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=9387779262","9387779262","I recently purchased ""My First Library: Boxset of 10 Board Books for Kids"" from Amazon, and I couldn't be happier with the product. The set is perfect for my toddler, featuring vibrant and engaging images that capture her attention immediately. The books cover a wide range of essential topics, from ABCs and numbers to shapes and animals, which has been great for her early learning. They are the perfect size for little hands, durable, and easy to handle, making them ideal for young children. The shipping was prompt, and the price was very reasonable, especially considering the quality and the number of books included. This set has become an invaluable part of our daily learning routine, and I highly recommend it to other parents looking for an educational and fun book set for their young children.","Reviewed in the United States on May 19, 2024","","Verified Purchase","6 people found this helpful","","","[]","[]"
"R3Q3X5L583EUZ5","Catherine S.","https://www.amazon.com/gp/profile/amzn1.account.AE3VYNY6ZHAO6P3YKBHQZJI7MWGA/ref=cm_cr_arp_d_gw_btm?ie=UTF8","5","","https://www.amazon.com/gp/customer-reviews/R3Q3X5L583EUZ5/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=9387779262","9387779262","We are very happy with this set - they are better than what we expected. The books are sturdy,  colorful, and can be used in many ways inclulding learning colors, numbers, vocabulary, counting, comparison, and story-telling. All of the pictures are actual photographs which can be helpful for young children learning to identify objects. I disagree with those that think they are too small - they are a perfect size for older infants and toddlers.","Reviewed in the United States on May 31, 2024","","Verified Purchase","3 people found this helpful","","","[]","[]"
"R38A28N3BSDMIZ","Irelyn Siarah","https://www.amazon.com/gp/profile/amzn1.account.AFFJOOMO3A5LO44CXMH4RQFDGUPQ/ref=cm_cr_arp_d_gw_btm?ie=UTF8","5","","https://www.amazon.com/gp/customer-reviews/R38A28N3BSDMIZ/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=9387779262","9387779262","I LOVE these books. They are so tiny and so cute, absolutely perfect for my toddler. She LOVES these books as well, she uses them every day. They fit her hand perfectly, they are simple yet educational. The perfect first books for a toddler to use, if you are debating getting them, do it!","Reviewed in the United States on June 6, 2024","","Verified Purchase","2 people found this helpful","","","[]","[]"
"R3D79KSZDKP7WV","Jay ","https://www.amazon.com/gp/profile/amzn1.account.AGHCKBLWPFLGOZLUVCJIF4BWUWEQ/ref=cm_cr_arp_d_gw_btm?ie=UTF8","5","","https://www.amazon.com/gp/customer-reviews/R3D79KSZDKP7WV/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=9387779262","9387779262","Got this for my niece for a gift.  I got this for her Xmas of 2023 and it is now June 2024 and these things I can say are indestructible so far. She uses them daily and they have not had any issues. The pictures and words are perfect for teaching them to talk.","Reviewed in the United States on June 9, 2024","","Verified Purchase","3 people found this helpful","","","[]","[]"
"R3NGA66WRCQL9K","KK","https://www.amazon.com/gp/profile/amzn1.account.AEKBH7CNX7KMF7OHLU7SYIXH4DMA/ref=cm_cr_arp_d_gw_btm?ie=UTF8","4","","https://www.amazon.com/gp/customer-reviews/R3NGA66WRCQL9K/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=9387779262","9387779262","I am impressed with the quality of this set. The books are sturdy and easy for my toddler to use without my supervision. The accompanying pictures are also appropriately sized, colourful and attractive, this allows for interactive sessions. In less than a month my 2 year old has almost mastered his colors and shapes. My only concern would be that for the abc book, I think the letters should be bigger than the pictures or at least the ame size.<br><br>I 💯 recommend this set to anyone who is a parent. You will thank me later 😌","Reviewed in the United States on May 8, 2024","","Verified Purchase","5 people found this helpful","","","[]","[]"
"R3329QI67E4JF","AmazingCollaboration","https://www.amazon.com/gp/profile/amzn1.account.AEI3TOOTZZGQQMX2RWEOW7EEV3YA/ref=cm_cr_arp_d_gw_btm?ie=UTF8","5","","https://www.amazon.com/gp/customer-reviews/R3329QI67E4JF/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=9387779262","9387779262","Good books for the price! Little girl loves to play with them and read and wow all the pictures. Comes with ten, smaller than I thought but it works good for baby.","Reviewed in the United States on July 3, 2024","","Verified Purchase","","","","[]","[]"
"R2VTS3EKIZ5AFC","Brokecollegestudenthere","https://www.amazon.com/gp/profile/amzn1.account.AGQZSL2BSA5W5WWRXB6BYDXM6BLQ/ref=cm_cr_arp_d_gw_btm?ie=UTF8","5","","https://www.amazon.com/gp/customer-reviews/R2VTS3EKIZ5AFC/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=9387779262","9387779262","These are the first books I bought for the nursery. They’re about the size of my hand so perfect for tiny hands and easily portable.","Reviewed in the United States on June 15, 2024","","Verified Purchase","","","","[]","[]"
"RDY1U445GL90P","Becki","https://www.amazon.com/gp/profile/amzn1.account.AF6MMLW7FJZW6Q43QNXBR4MBKIDQ/ref=cm_cr_arp_d_gw_btm?ie=UTF8","5","","https://www.amazon.com/gp/customer-reviews/RDY1U445GL90P/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=9387779262","9387779262","I bought these for my 1.5 year old niece.  It is great for teaching and if they try to chew on them (hehe)!","Reviewed in the United States on July 7, 2024","","Verified Purchase","","","","[]","[]"
"R12E53BQ8VQG5A","The quality is so soft and thick. My baby loves it","https://www.amazon.com/gp/profile/amzn1.account.AEARLTGW5D77SRGCUM3735BBLT5Q/ref=cm_cr_arp_d_gw_btm?ie=UTF8","5","","https://www.amazon.com/gp/customer-reviews/R12E53BQ8VQG5A/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=9387779262","9387779262","My son absolutely loves his books. Got this set for him a month ago and its the first thing he goes to on a morning. The books are small enough that he can hold and open and also fling and hardcover so they won't damage even when he tries to take a chunk or two out of them. It also encourages him learning with bright colours and pictures and he picked up all the words quite quickly. Can carry these books anywhere to keep him occupied and away from too much screen time","Reviewed in the United States on June 8, 2024","","Verified Purchase","One person found this helpful","","","[]","[]"
"R2GN65J3OJINZK","Martina Glenn","https://www.amazon.com/gp/profile/amzn1.account.AERLQ7ZZVXBD3NLW2N6ANNZIXXLA/ref=cm_cr_arp_d_gw_btm?ie=UTF8","5","","https://www.amazon.com/gp/customer-reviews/R2GN65J3OJINZK/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=9387779262","9387779262","I got these for my 1yr old granddaughter, and she absolutely love’s them, they have really helped improve her learning, some ppl didn’t like how small the books are but I love the size, because her hands are so small she can hold them with any problem, we read a different book each day with her and she loves it and so do I, glad I came across these, I recommend them for anyone parent or grandparent that’s looking for something to do with their kids or grandchildren","Reviewed in the United States on June 9, 2024","","Verified Purchase","2 people found this helpful","","","[]","[]"
