"id","username","profileURL","rating","title","review_url","asin","content","date","format_strip","verified","helpful","videoURL","video_cover_url","imgs","normalImgs"
"R2EOBBW9OHC4ER","April","https://www.amazon.com/gp/profile/amzn1.account.AF26MJVE54UX3UJERSHJNKRAXSFA/ref=cm_cr_arp_d_gw_btm?ie=UTF8","5","","https://www.amazon.com/gp/customer-reviews/R2EOBBW9OHC4ER/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B07ND3WR64","B07ND3WR64","Best wipes in my opinion. And a great price for this pack!!!! Way better than purchasing in store! Texture is soft, they don’t rip easily and they don’t have any weird scents or smells.","Reviewed in the United States on June 27, 2024","Size: 42 Count (Pack of 8)","Verified Purchase","2 people found this helpful","","","[]","[]"
"R3VV7KNMC6JZ4T","Greg","https://www.amazon.com/gp/profile/amzn1.account.AE3QTJIWOL2FYFCN64Z7NVU2BSSQ/ref=cm_cr_arp_d_gw_btm?ie=UTF8","5","","https://www.amazon.com/gp/customer-reviews/R3VV7KNMC6JZ4T/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B07ND3WR64","B07ND3WR64","We’ve been using these for years, and they are fantastic! They are soft and durable and they are easy on the bottom. Even though they are marketed as flushable, we just toss in the garbage because of our community wastewater collection. Apparently, they are not good for the system.","Reviewed in the United States on May 28, 2024","Size: 42 Count (Pack of 8)","Verified Purchase","9 people found this helpful","","","[]","[]"
"R1SOAW3W6KO6J3","Elska McKim","https://www.amazon.com/gp/profile/amzn1.account.AGRXL52JQ4UV3UYCA7AHKVWY2WGQ/ref=cm_cr_arp_d_gw_btm?ie=UTF8","5","","https://www.amazon.com/gp/customer-reviews/R1SOAW3W6KO6J3/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B07ND3WR64","B07ND3WR64","These are my favorite brand of flushable wipes! Of course using flushable wipes helps you feel so much fresher after using the bathroom but this brand specifically works really well. Some other brands have been irritating to my skin but not this one! The thickness, texture and durability is great compared to other brands too. They do an excellent job! I also love the travel size packages. They are perfect for travel and on the go. I would recommend these!","Reviewed in the United States on July 4, 2024","Size: 42 Count (Pack of 8)","Verified Purchase","One person found this helpful","https://m.media-amazon.com/images/S/vse-vms-transcoding-artifact-us-east-1-prod/7b8335ee-61b9-4289-a2bf-8ba34e0e2bdb/default.vertical.jobtemplate.mp4.480.mp4","https://m.media-amazon.com/images/I/51lJ1pml5PL._SY256._SY256.jpg","[""https://m.media-amazon.com/images/I/71JLL-WXjeL._SY88.jpg"",""https://m.media-amazon.com/images/I/71KFZ9g4sxL._SY88.jpg"",""https://m.media-amazon.com/images/I/71Sx+UHGjnL._SY88.jpg""]","[""https://m.media-amazon.com/images/I/71JLL-WXjeL.jpg"",""https://m.media-amazon.com/images/I/71KFZ9g4sxL.jpg"",""https://m.media-amazon.com/images/I/71Sx+UHGjnL.jpg""]"
"R3MCAI23W8H8VP","Sheryl M Euten","https://www.amazon.com/gp/profile/amzn1.account.AGI263G3J3VSN7DVEYJ67BNDLNJA/ref=cm_cr_arp_d_gw_btm?ie=UTF8","5","","https://www.amazon.com/gp/customer-reviews/R3MCAI23W8H8VP/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B07ND3WR64","B07ND3WR64","These Cottonelle wipes are a great addition to any bathroom. Let’s face it…..not every poop comes with a clean break. Sometimes you need a little more than normal toilet paper to feel clean. These wipes will do the trick! Thick enough so that your finger won’t go through and wet enough, but not so wet that your bum leaves your pants looking like you had an accident. I would highly recommend them! Easy, breezy, lemon squeezy for a sparkly clean rump!","Reviewed in the United States on June 26, 2024","Size: 42 Count (Pack of 8)","Verified Purchase","6 people found this helpful","","","[]","[]"
"RKKV6G9KMYNH2","John Smith","https://www.amazon.com/gp/profile/amzn1.account.AGWCDSYEY676T27AFLWLPQDOGYMA/ref=cm_cr_arp_d_gw_btm?ie=UTF8","4","","https://www.amazon.com/gp/customer-reviews/RKKV6G9KMYNH2/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B07ND3WR64","B07ND3WR64","Smells really good but falls apart when you try taking one out of the package most likely because they are flushable so that's OK. I recommend these for a nice clean booty After pooping!!","Reviewed in the United States on June 21, 2024","Size: 42 Count (Pack of 8)","Verified Purchase","3 people found this helpful","","","[]","[]"
"R24DEYXBQU71R3","Karrie T","https://www.amazon.com/gp/profile/amzn1.account.AEGQ6F2FNE27A3W5IXATBGZ5HIZA/ref=cm_cr_arp_d_gw_btm?ie=UTF8","5","","https://www.amazon.com/gp/customer-reviews/R24DEYXBQU71R3/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B07ND3WR64","B07ND3WR64","These wipes are thick and durable. They come in an 8 pack. The price is very fair compared to buying them at a grocery store! They have a nice flip top lid and thick packing that does not rip.","Reviewed in the United States on June 4, 2024","Size: 42 Count (Pack of 8)","Verified Purchase","4 people found this helpful","","","[]","[]"
"R2UNMS4087WFVW","Jewl","https://www.amazon.com/gp/profile/amzn1.account.AGX6QOUCICHIFNDQCXC7STCXYFEA/ref=cm_cr_arp_d_gw_btm?ie=UTF8","5","","https://www.amazon.com/gp/customer-reviews/R2UNMS4087WFVW/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B07ND3WR64","B07ND3WR64","I really loved how well they worked for any cleaning job we've came across. The size is perfect for keeping on hand for a quick hand wash, gentle enough for washing your face and tender bottoms, no matter how big the job is, your covered. Perfect for bedbound love ones and their caretakers, when you can wash your hands anytime you need it's really helpful to keep the spread of germs down!<br>It's nice to be able to freshen up any time you want to, even when you're mobility makes it impossible to get to up and go wherever and whenever","Reviewed in the United States on July 1, 2024","Size: 42 Count (Pack of 8)","Verified Purchase","","","","[]","[]"
"R2BHU2WCS3GOAQ","b","https://www.amazon.com/gp/profile/amzn1.account.AGSLP72ED6XDLVOSBWMXNIRHVSPQ/ref=cm_cr_arp_d_gw_btm?ie=UTF8","5","","https://www.amazon.com/gp/customer-reviews/R2BHU2WCS3GOAQ/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B07ND3WR64","B07ND3WR64","great for when traveling,stay wet,easy to get out,  soft but strong, great sent","Reviewed in the United States on July 3, 2024","Size: 42 Count (Pack of 8)","Verified Purchase","","","","[]","[]"
"R3DO4P2Z533PKO","Trey Townsend","https://www.amazon.com/gp/profile/amzn1.account.AFDKM7ZXTZSK3M6WU7Q7IPQTSBEQ/ref=cm_cr_arp_d_gw_btm?ie=UTF8","5","","https://www.amazon.com/gp/customer-reviews/R3DO4P2Z533PKO/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B07ND3WR64","B07ND3WR64","This product is 5 star and nothing less!!! Unless you have a allergic reaction which is a personal issue and not a product issue.<br><br>Now everyone saying they are too small, to thin, tear easily etc.. LISTEN CAREFULLY TO THIS 1 SIMPLE STEP!....<br><br>JUST FOLD IT IN HALF!!! Done problem solved.<br><br>P.S<br>If you got a pick up or dump truck as your rear end these might not be for you or any wipes honestly! All love though! Lol🤣","Reviewed in the United States on July 1, 2024","Size: 42 Count (Pack of 8)","Verified Purchase","","","","[]","[]"
"RYL3LI4NYIZMR","MLB","https://www.amazon.com/gp/profile/amzn1.account.AELZSBZWAVGAFKKHYE7JROBKZCRA/ref=cm_cr_arp_d_gw_btm?ie=UTF8","5","","https://www.amazon.com/gp/customer-reviews/RYL3LI4NYIZMR/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B07ND3WR64","B07ND3WR64","I accidentally bought these--not sure how--but I'm glad I did. I needed them on my recent trip to India for the in-ground squat toilets I encountered between cities. These toilets had no toilet paper, so it was helpful to break out the Cottonelle wipes. I also found them cool and refreshing in 117-degree temperatures. They smell nice, so I used them as body wipes when I felt sticky and gross. Best of all, they're made of thick paper so they're biodegradable. I definitely intend to buy more.","Reviewed in the United States on June 26, 2024","Size: 42 Count (Pack of 8)","Verified Purchase","","","","[]","[]"
