"id","username","profileURL","rating","title","review_url","asin","content","date","format_strip","verified","helpful","videoURL","video_cover_url","imgs","normalImgs"
"RP9JKKVK5ABBB","M. Fisher","https://www.amazon.com/gp/profile/amzn1.account.AEIPTST4CULIATUV2W5LOHWWVA5Q/ref=cm_cr_arp_d_gw_btm?ie=UTF8","5","","https://www.amazon.com/gp/customer-reviews/RP9JKKVK5ABBB/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B08TR5Z9XY","B08TR5Z9XY","For the price it's really hard to beat it.  Looks good, casts good smooth to reel in.  It s nice little setup.  Very easy to take along in any vehicle.","Reviewed in the United States on June 5, 2024","Size: 7.87FT/2.4M","Verified Purchase","One person found this helpful","","","[]","[]"
"RZPRGDR4A5Y3E","SocalTony","https://www.amazon.com/gp/profile/amzn1.account.AHD2TTZNBMGZDB4YIYYH6UTKLSQA/ref=cm_cr_arp_d_gw_btm?ie=UTF8","5","","https://www.amazon.com/gp/customer-reviews/RZPRGDR4A5Y3E/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B08TR5Z9XY","B08TR5Z9XY","I love this rod! It is something I keep in my vehicle or take on my e-bike anytime I am going down to the harbor.<br><br>I am in SoCal, so there's always a bit of fishing I can partake in. Mainly, I fish from jetties and piers, sometimes the shore.<br><br>This is far from my nicest/fanciest rod setup, but it is dependable and easy to setup and get to fishing.<br><br>The finish on the reel is incredible for the money. The rod is carbon fiber and is very strong for the size.<br><br>I have had good luck fishing 8 lb halibuts and bonito, I enjoy having a simple setup in my kit to get to fishing quickly!<br><br>Update: Feb 2024- the rod is still reeling in fish! Just landed a great Rainbow trout and wanted to share the video I managed while bringing her in.","Reviewed in the United States on November 26, 2023","Size: 6.89FT/2.1M","Verified Purchase","","https://m.media-amazon.com/images/S/vse-vms-transcoding-artifact-us-east-1-prod/47204951-50d3-4395-933d-9213873ec929/default.vertical.jobtemplate.mp4.480.mp4","https://m.media-amazon.com/images/I/81RH9MZydWL._SY256._SY256.jpg","[]","[]"
"R20A49YAKGAW04","Amelia M.","https://www.amazon.com/gp/profile/amzn1.account.AH2PF2UE7GVWXLFOQYUFUMV63VQQ/ref=cm_cr_arp_d_gw_btm?ie=UTF8","4","","https://www.amazon.com/gp/customer-reviews/R20A49YAKGAW04/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B08TR5Z9XY","B08TR5Z9XY","For $35, this isnt a bad little kit. Unboxing is very pleasing and all the individual components feel great; nice reel, 14.5kg test line(31 ish pound test), even the rod and little tackle box. Even has lures that ive never really seen or tried before. The eyelet protector when its collapsed is a bonus too. Nice smooth cast. The pole feels a little weird, never had one in this material and bafflingly light. Havent caught anything yet, not even a bite today so the action on the rod is untested. I do recommend saving the 30lbs test it comes with for a larger reel and stringing it with something lighter as the line is to stiff for the reel size. Buddy kept getting his caught around the reel bearing and mine would throw a birds nest from time to time. Note to the manufacturer: make the strap on the eyelet protector just a hair longer so it can still be strapped with the reel attached.<br><br>All and all, not a bad purchase for $35, still plenty of useful stuff here even if something does go south on me later.","Reviewed in the United States on August 6, 2023","Size: 6.89FT/2.1M","Verified Purchase","","","","[]","[]"
"R8LNGD1TS4H45","Brittini","https://www.amazon.com/gp/profile/amzn1.account.AHXNER5KZBIOSRF3RVPRLISP3R5A/ref=cm_cr_arp_d_gw_btm?ie=UTF8","5","","https://www.amazon.com/gp/customer-reviews/R8LNGD1TS4H45/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B08TR5Z9XY","B08TR5Z9XY","Bought this as a gift for Father's Day and am so glad I did. This set comes with a black bag that is perfect for traveling, and you are able to make the fishing pole smaller to fit in there. Comes with a whole bunch of necessities and we cannot wait to give it a try.","Reviewed in the United States on July 2, 2024","Size: 6.89FT/2.1M","Verified Purchase","","","","[]","[]"
"R2S4HR95NI4GZD","Ju Yeong Tetrick","https://www.amazon.com/gp/profile/amzn1.account.AEEGDZ7M6F2WJHPPI6E3COVGDSNA/ref=cm_cr_arp_d_gw_btm?ie=UTF8","3","","https://www.amazon.com/gp/customer-reviews/R2S4HR95NI4GZD/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B08TR5Z9XY","B08TR5Z9XY","Just think about why it's so cheap.<br>This rod is starting to fall apart after using few times. I ended up bought a new wheels for it. I only gave them 3 stars because of that.<br>But the company reached out to me and sent me a new set of rod so I'm going to give another chance to this product.<br>I have to say tho this company really do cares for customers experience about their product and impressing for customer service.","Reviewed in the United States on June 20, 2021","Size: 6.89FT/2.1M","Verified Purchase","One person found this helpful","","","[]","[]"
"R3IVUDM5U15QG4","RB","https://www.amazon.com/gp/profile/amzn1.account.AF44AORTQRBKRWR6DMI57MQOWAQA/ref=cm_cr_arp_d_gw_btm?ie=UTF8","5","","https://www.amazon.com/gp/customer-reviews/R3IVUDM5U15QG4/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B08TR5Z9XY","B08TR5Z9XY","Bought this as a travel rod for vacation and use it regularly. Fits well in the bag and works very well for a set at this price point.","Reviewed in the United States on March 20, 2024","Size: 7.87FT/2.4M","Verified Purchase","","","","[]","[]"
"R1EFR2U3QPUG46","Agustin Hideroa","https://www.amazon.com/gp/profile/amzn1.account.AFGODALOYAF5FKENUM7L5MYOPBIQ/ref=cm_cr_arp_d_gw_btm?ie=UTF8","1","","https://www.amazon.com/gp/customer-reviews/R1EFR2U3QPUG46/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B08TR5Z9XY","B08TR5Z9XY","While fishing, the glue that holds the eyelets, &amp; poles together, came off &amp; disintegrated with water.<br><br>Trash","Reviewed in the United States on April 28, 2024","Size: 7.87FT/2.4M","Verified Purchase","One person found this helpful","","","[]","[]"
"R3MMNVXUXLXU87","Tony Castillo","https://www.amazon.com/gp/profile/amzn1.account.AFQJLV4AYQGCU3QNLYQ466WDL43A/ref=cm_cr_arp_d_gw_btm?ie=UTF8","5","","https://www.amazon.com/gp/customer-reviews/R3MMNVXUXLXU87/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B08TR5Z9XY","B08TR5Z9XY","I of course had some doubts with the rod, but as soon as I took it to fish for the first time, all the doubts were erased. The rod’s retractability made it easy to love around and set up. Once I got the rod, the set up was easy because it came with a video provided with the company. Overall, since I am not a pro fisher but just an average guy who fishes for the fun of it, the rod was worth the money.","Reviewed in the United States on July 23, 2021","Size: 6.89FT/2.1M","Verified Purchase","","","","[]","[]"
"RUBUEAT7AHPN","Jimijammer","https://www.amazon.com/gp/profile/amzn1.account.AEME662NQDMQPCVQJQFBUHN54UFQ/ref=cm_cr_arp_d_gw_btm?ie=UTF8","4","","https://www.amazon.com/gp/customer-reviews/RUBUEAT7AHPN/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B08TR5Z9XY","B08TR5Z9XY","Nice for a starting fisherman","Reviewed in the United States on January 20, 2024","Size: 6.89FT/2.1M","Verified Purchase","","","","[]","[]"
"R2K2YDP5KFDXBL","MoonMoon","https://www.amazon.com/gp/profile/amzn1.account.AGL4FFYKZABDL3GL4MLN77BMCQVQ/ref=cm_cr_arp_d_gw_btm?ie=UTF8","4","","https://www.amazon.com/gp/customer-reviews/R2K2YDP5KFDXBL/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B08TR5Z9XY","B08TR5Z9XY","This fishing pole allowed me to catch not only this tiny fish, but many others as well!  I'm a beginner who knows very little, so perhaps some of my struggles are my own unique fumbles; however, I've had some trouble with the reel.  Like getting line on.  Keeping line on.  Sometimes line catching when I cast.  Again, I think that's more user error than a design flaw.  Because of the telescoping feature, it's a tad cumbersome at the handle.  Still, it gets 5 stars for being so easy to travel with and relatively easy to use for this clueless creature.  If you're a complete novice, you may want to findable with a closed reel.","Reviewed in the United States on August 17, 2021","Size: 6.89FT/2.1M","Verified Purchase","3 people found this helpful","","","[""https://m.media-amazon.com/images/I/C1h3PiH27zS._SY88.jpg""]","[""https://m.media-amazon.com/images/I/C1h3PiH27zS.jpg""]"
