"id","username","profileURL","rating","title","review_url","asin","content","date","format_strip","verified","helpful","videoURL","video_cover_url","imgs","normalImgs"
"R3H32BVP79F0VZ","Helen","https://www.amazon.com/gp/profile/amzn1.account.AFLIXJTFHHJXGZVZ6PAAM2DNUFPA/ref=cm_cr_arp_d_gw_btm?ie=UTF8","5","","https://www.amazon.com/gp/customer-reviews/R3H32BVP79F0VZ/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B07DKZWC87","B07DKZWC87","Picky husband likes it. Good quality, fits well and looks nice. Enough is said!","Reviewed in the United States on April 24, 2024","Size: One Size<i class=""a-icon a-icon-text-separator"" role=""img"" aria-label=""|""></i>Color: Titanium/White","Verified Purchase","One person found this helpful","","","[]","[]"
"R15Y2QFYBW51OU","Ryan","https://www.amazon.com/gp/profile/amzn1.account.AEXHVWNJ2ZGXIJJP4XUOMPFIVLCQ/ref=cm_cr_arp_d_gw_btm?ie=UTF8","5","","https://www.amazon.com/gp/customer-reviews/R15Y2QFYBW51OU/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B07DKZWC87","B07DKZWC87","Just a nice hat, nice quality and seems like it will last.","Reviewed in the United States on July 4, 2024","Size: One Size<i class=""a-icon a-icon-text-separator"" role=""img"" aria-label=""|""></i>Color: Gulf Stream, Black","Verified Purchase","","","","[]","[]"
"R17YYHV8BPOCCT","Desi Chan ","https://www.amazon.com/gp/profile/amzn1.account.AGNKPFFOVMZ4G4MEBHCHSO6CLODA/ref=cm_cr_arp_d_gw_btm?ie=UTF8","5","","https://www.amazon.com/gp/customer-reviews/R17YYHV8BPOCCT/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B07DKZWC87","B07DKZWC87","Excellent fit, stylish.","Reviewed in the United States on June 24, 2024","Size: One Size<i class=""a-icon a-icon-text-separator"" role=""img"" aria-label=""|""></i>Color: Black/Cool Grey","Verified Purchase","","","","[]","[]"
"R6GZ5FQSL2O64","JenRay","https://www.amazon.com/gp/profile/amzn1.account.AHG2GNCFYAM7TPTUMK24X3LZ6IJA/ref=cm_cr_arp_d_gw_btm?ie=UTF8","5","","https://www.amazon.com/gp/customer-reviews/R6GZ5FQSL2O64/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B07DKZWC87","B07DKZWC87","***** Such an amazing hat for the summer! If you can’t tell the stripes of the American Flag are fish! Yes! Fish! *****<br>- It’s got the curve cut out so it doesn’t hurt your ears. My husband LOVES it. HOWEVER, we did get it on Prime day overnight and I do believe that’s the only reason the hat was in great shape because it comes in a bag not a box. If you have this out for a week delivery I can almost guarantee you the hat will be crushed.<br>- just some delivery info from my own personal experience","Reviewed in the United States on May 20, 2024","Size: One Size<i class=""a-icon a-icon-text-separator"" role=""img"" aria-label=""|""></i>Color: Grill Heather/Black/Fish Flag","Verified Purchase","","","","[]","[]"
"RGI97R2SQH2U3","Cesar Lopez","https://www.amazon.com/gp/profile/amzn1.account.AF53NEQO5RPYHCTIANAEZB2P46DA/ref=cm_cr_arp_d_gw_btm?ie=UTF8","5","","https://www.amazon.com/gp/customer-reviews/RGI97R2SQH2U3/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B07DKZWC87","B07DKZWC87","Feels good, excellent performance, as expected..","Reviewed in the United States on May 19, 2024","Size: One Size<i class=""a-icon a-icon-text-separator"" role=""img"" aria-label=""|""></i>Color: Cool Grey/White/Vivid Blue","Verified Purchase","","","","[]","[]"
"RS09EBE4EIN7V","Mackenzi Marie Wilson","https://www.amazon.com/gp/profile/amzn1.account.AG7XGS57LOC7URPEWEEACH6GJWRQ/ref=cm_cr_arp_d_gw_btm?ie=UTF8","5","","https://www.amazon.com/gp/customer-reviews/RS09EBE4EIN7V/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B07DKZWC87","B07DKZWC87","My husband purchased this hat for 4th of July. The quality of the material is great, and I love that it is size adjustable so it will practically anyone!","Reviewed in the United States on June 11, 2024","Size: One Size<i class=""a-icon a-icon-text-separator"" role=""img"" aria-label=""|""></i>Color: Titanium/White","Verified Purchase","","","","[]","[]"
"R2A6YNK08ZK77T","TJ","https://www.amazon.com/gp/profile/amzn1.account.AFPMBXXOE22JS4BL5G5CAUQL2TEA/ref=cm_cr_arp_d_gw_btm?ie=UTF8","4","","https://www.amazon.com/gp/customer-reviews/R2A6YNK08ZK77T/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B07DKZWC87","B07DKZWC87","The hat looks great and is high quality, only problem is that the brim is pretty off-center with the middle seam.","Reviewed in the United States on April 20, 2024","Size: One Size<i class=""a-icon a-icon-text-separator"" role=""img"" aria-label=""|""></i>Color: Fossil/White/Fish Flag","Verified Purchase","","","","[]","[]"
"R24F24GIFOYEU4","Loved smaller then expected ","https://www.amazon.com/gp/profile/amzn1.account.AFSYI7OQXBFJNOFMCD6EJRQHPIJA/ref=cm_cr_arp_d_gw_btm?ie=UTF8","5","","https://www.amazon.com/gp/customer-reviews/R24F24GIFOYEU4/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B07DKZWC87","B07DKZWC87","Loved and good for a gift","Reviewed in the United States on June 21, 2024","Size: One Size<i class=""a-icon a-icon-text-separator"" role=""img"" aria-label=""|""></i>Color: Titanium, Black","Verified Purchase","","","","[]","[]"
"R2WP51GRFZSY90","GRD Family","https://www.amazon.com/gp/profile/amzn1.account.AELEXOC5F7XCELAT5NESTFKTDK3Q/ref=cm_cr_arp_d_gw_btm?ie=UTF8","4","","https://www.amazon.com/gp/customer-reviews/R2WP51GRFZSY90/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B07DKZWC87","B07DKZWC87","I looked for a while for a hat I liked. Columbia is an easy choice as I always wear my husband and son’s Columbia hats. I wanted a light but neutral color so I opted for a tan front/white mesh sides. I like the hat therefore I gave it 4 stars. I only wish it was clear it was a high crown hat. I probably would not have purchased it if I had known. I tend to wear this so it covers my ears to avoid it sitting high on my head. All in all I like the hat despite it being high crown (no reviews stated this but I should have looked at the images).","Reviewed in the United States on June 17, 2024","Size: One Size<i class=""a-icon a-icon-text-separator"" role=""img"" aria-label=""|""></i>Color: Fossil/White/Fish Flag","Verified Purchase","","","","[]","[]"
"R1DXY9NFZQ4DSM","Amazon Customer","https://www.amazon.com/gp/profile/amzn1.account.AF643YGPCMAQSTISHOOOJHO5YMCA/ref=cm_cr_arp_d_gw_btm?ie=UTF8","5","","https://www.amazon.com/gp/customer-reviews/R1DXY9NFZQ4DSM/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B07DKZWC87","B07DKZWC87","Hat was nicely made, good quality. I was surprised it was shipped in a see through plastic bag (no protection), but it didn’t have any damage.","Reviewed in the United States on June 20, 2024","Size: One Size<i class=""a-icon a-icon-text-separator"" role=""img"" aria-label=""|""></i>Color: Collegiate Navy/Sunset Red","Verified Purchase","","","","[]","[]"
