"id","username","profileURL","rating","title","review_url","asin","content","date","format_strip","verified","helpful","videoURL","video_cover_url","imgs","normalImgs"
"R1Q451ME2X48D9","Teresa","https://www.amazon.com/gp/profile/amzn1.account.AHHIBD2V43O7IJ7YB4UMX2JSYCSQ/ref=cm_cr_arp_d_gw_btm?ie=UTF8","5","","https://www.amazon.com/gp/customer-reviews/R1Q451ME2X48D9/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B09WZBPX7K","B09WZBPX7K","Picture is clear and battery great. No issues with connectivity and it’s picking up motion, person, and bell perfectly. Extremely easy to set up in the App and navigate settings etc. For mounting, As a renter, I purchased the door mount and it looks and works great! Super secure! I’ve been using the Ring doorbell for a month now and although I selected outside the recommended settings for recording length (1 minute vs. 30 seconds), i still have 73% battery life. Only 27% used in 30 days. At this rate, i expect my battery will last another 3 months before i need to charge. However, when i do, I also went ahead and bought an extra battery pack as not to lose any monitoring time. Also bought a yard sign  Very pleased with all my Ring purchases thus far and would highly recommend! Overall great value!","Reviewed in the United States on June 7, 2024","Configuration: Doorbell only","Verified Purchase","42 people found this helpful","","","[""https://m.media-amazon.com/images/I/613a3JJVDvL._SY88.jpg"",""https://m.media-amazon.com/images/I/717w+v1ENYL._SY88.jpg"",""https://m.media-amazon.com/images/I/71lqkpjx9IL._SY88.jpg"",""https://m.media-amazon.com/images/I/81V+6mBMA2L._SY88.jpg""]","[""https://m.media-amazon.com/images/I/613a3JJVDvL.jpg"",""https://m.media-amazon.com/images/I/717w+v1ENYL.jpg"",""https://m.media-amazon.com/images/I/71lqkpjx9IL.jpg"",""https://m.media-amazon.com/images/I/81V+6mBMA2L.jpg""]"
"R34S3F6C80UNLH","Ema Cica","https://www.amazon.com/gp/profile/amzn1.account.AHWUX6I6HESIY7CG7EL4V5CRIOOQ/ref=cm_cr_arp_d_gw_btm?ie=UTF8","5","","https://www.amazon.com/gp/customer-reviews/R34S3F6C80UNLH/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B09WZBPX7K","B09WZBPX7K","I am thoroughly impressed with the Ring Doorbell! Installation was a breeze, thanks to the straightforward instructions and included tools. The video quality is excellent, providing clear and sharp footage day or night. I love how I can see and speak to visitors from anywhere using the Ring app on my phone, which adds a significant layer of security and convenience. The motion detection alerts are timely and customizable, ensuring I never miss a visitor or package delivery. Overall, the Ring Doorbell has exceeded my expectations and provided peace of mind. Highly recommend!","Reviewed in the United States on June 19, 2024","Configuration: Doorbell only","Verified Purchase","11 people found this helpful","","","[""https://m.media-amazon.com/images/I/61qXSbgw-hL._SY88.jpg""]","[""https://m.media-amazon.com/images/I/61qXSbgw-hL.jpg""]"
"RDBBR59DAEL3G","Heather D","https://www.amazon.com/gp/profile/amzn1.account.AEJ4XCKZXIZ4MAYK2MJ6ILGRDI3Q/ref=cm_cr_arp_d_gw_btm?ie=UTF8","5","","https://www.amazon.com/gp/customer-reviews/RDBBR59DAEL3G/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B09WZBPX7K","B09WZBPX7K","I wired into the existing doorbell wiring, no need to change batteries all of the time. Works well, good visibility including at night.  Will be adding more cameras to pick up what this does not.  I appreciate that the squirrels and other animals do not trigger.  I appreciate being able to hide notifications from neighbors that I am not interested in, for example, everyone’s missing cats that they let roam freely.","Reviewed in the United States on May 24, 2024","Configuration: Doorbell only","Verified Purchase","21 people found this helpful","","","[]","[]"
"R36N8L511VTY7K","Anna Marie Lubatti","https://www.amazon.com/gp/profile/amzn1.account.AGPEBTL2GVQMFPH2ZCU4FC6OY24A/ref=cm_cr_arp_d_gw_btm?ie=UTF8","5","","https://www.amazon.com/gp/customer-reviews/R36N8L511VTY7K/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B09WZBPX7K","B09WZBPX7K","I am really impressed with this doorbell from Ring. The quality of the video and the coverage of the camera is remarkable. The batteries seem long lasting. I was a bit worried about the battery life, but it is great. I've had it fir more than 2 weeks and the battery indicator is still almost at full charge. You can also talk to anyone at your door, with no need to open the door.  I purchased the chime and it does a great job alerting me to anyone approaching my door. It can also be set to disregard passing cats! It was easy to put up and easy to link to the internet.","Reviewed in the United States on July 2, 2024","Configuration: Doorbell only","Verified Purchase","3 people found this helpful","","","[]","[]"
"R3TTQFOXGX9BKT","Amazon Customer","https://www.amazon.com/gp/profile/amzn1.account.AG3D2OXES2N45AQXWRXKSIT2H2UQ/ref=cm_cr_arp_d_gw_btm?ie=UTF8","4","","https://www.amazon.com/gp/customer-reviews/R3TTQFOXGX9BKT/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B09WZBPX7K","B09WZBPX7K","It is good and works well.  We live in an area with poor WiFi reception so it is hard for me to give it a 5 star because the sensor is not accurate.  At times it goes off when people walk on the sidewalk but will not always work when someone comes to the front door.  It seems that if the delivery person comes in from the side and leaves a package on the front steps the Ring system does not recognize the motion.  With that said, we do like the camara feature when we are not home. Overall we are happy with the purchase.","Reviewed in the United States on June 19, 2024","Configuration: Doorbell only","Verified Purchase","6 people found this helpful","","","[]","[]"
"R13YSKLLBGSHOI","Cristina","https://www.amazon.com/gp/profile/amzn1.account.AEOPDJJNUJH7QVJXLCIGE3XQDGCA/ref=cm_cr_arp_d_gw_btm?ie=UTF8","5","","https://www.amazon.com/gp/customer-reviews/R13YSKLLBGSHOI/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B09WZBPX7K","B09WZBPX7K","I love this product the camera is so clear the quality is amazing! I had no problem connecting it to wifi. It’s affordable I like how I can get notifications right away when someone walks by or ring the bell! The quality of the camera at night is what I liked as well","Reviewed in the United States on June 23, 2024","Configuration: Doorbell only","Verified Purchase","9 people found this helpful","","","[""https://m.media-amazon.com/images/I/714LY4yagwL._SY88.jpg""]","[""https://m.media-amazon.com/images/I/714LY4yagwL.jpg""]"
"R2JPCAUHY1N6SL","Carla","https://www.amazon.com/gp/profile/amzn1.account.AEBNXYCRSAO7BNHYRXDTYBP3ZV6Q/ref=cm_cr_arp_d_gw_btm?ie=UTF8","5","","https://www.amazon.com/gp/customer-reviews/R2JPCAUHY1N6SL/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B09WZBPX7K","B09WZBPX7K","U have full body view, very HD nite and day, and works well with the custom zone that u set.","Reviewed in the United States on June 20, 2024","Configuration: Doorbell only","Verified Purchase","","","","[]","[]"
"R2H26M471WOJH8","William Vance","https://www.amazon.com/gp/profile/amzn1.account.AHMPYA3TVUCO4BDXD72A2OKF5HYQ/ref=cm_cr_arp_d_gw_btm?ie=UTF8","5","","https://www.amazon.com/gp/customer-reviews/R2H26M471WOJH8/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B09WZBPX7K","B09WZBPX7K","I had the original Ring doorbell and the clarity of the Ring Doorbell Plus is remarkably better both daytime and night. Easy install and being able to remove the battery to charge it is much easier than earlier models","Reviewed in the United States on June 20, 2024","Configuration: Doorbell only","Verified Purchase","One person found this helpful","","","[]","[]"
"R2M0KMJABHIP6Y","Shawn Baumgartner","https://www.amazon.com/gp/profile/amzn1.account.AGC7JAGKRR7QXRP3H5AQBNF2QLVA/ref=cm_cr_arp_d_gw_btm?ie=UTF8","2","","https://www.amazon.com/gp/customer-reviews/R2M0KMJABHIP6Y/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B09WZBPX7K","B09WZBPX7K","I finally decided to try the ever-popular Ring doorbell. I can only assume that the hype is from being an early entry into this space because after using a myriad of home automation products, I have not been impressed by this Ring doorbell in the slightest.<br><br>-----------------------<br>1. Terrible documentation<br><br>The box contains a tiny leaflet with no information about installing the thing, just info on expediting your personal information into their system. The only hardware reference is a picture of the hardware included, with no part counts to verify that you got what you were supposed to or descriptions to explain what the fasteners in each of the four paper envelopes should be used for. Zero info for actually using the mounting hardware. There is additional info in the setup process in the mobile app; not good info and super annoying to pick details out but technically there. This is apparently not a product for grown-ups who learned to read actual words.<br><br>2. Bad hardware.<br><br>The package only contains two machine screws to connect to doorbell to the mounting plate. It's bad enough that the unit only has four holes for attaching to the mounting plate, leaving a gap at the top since no fasteners are used to hold the top half of the unit. It's far worse when one of the two middle holes gets stripped, leaving a razor-thin margin between mostly attached and dangling even if there was a third screw to add to the fun.<br><br>By the way, when I say ""envelope, I mean there are four tiny envelopes labeled A through D for the hardware. Not sealed envelopes, just folded over and tucked, so maybe there was supposed to be more in here but they fell out while being packed, since some fasteners fell out when I removed the envelopes from the box but before I untucked any flaps. No indication on the envelopes as to what each should be used for, just a letter, so you'll just have to figure it out based upon clues from whatever sources that you can find and any prior experience that you have with similar parts.<br><br>The screws are metal, the mounting plate is plastic, and the threads are tiny. Mounting the doorbell to the mounting plate securely is a very delicate balancing between having a secure hold and stripping the threads, even when fingertipping the little Torx driver that they include. I barely got resistance on one before it began spinning freely, leading to the aforementioned stripping; one of only four mounting holes now useless. By very, very slowly turning the screws in two of the remaining holes, I was able to get them to hold without stripping. They seem tight enough but I don't dare snug them down any more.<br><br>The mounting plate is angled to left or right depending on how it gets placed, but all documentation and video I found online, given complete lack of included docs, are either for flat plates or an add-on plate that angles vertically rather than horizontally. Fortunately not difficult to figure out but I spent far more time than necessary trying to figure out if it was supposed to be that way or if they screwed up what went into the box. I'm still not sure since the hardware picture only covers the fasteners but the plate works so letting it be.<br><br>The heads on the screws for the concrete anchors are about the same size as the mounting plate slot, so screws slide right through the slots when tightened, leaving the plate behind. No washers provided so it's just the screw head to hold. I drilled holes in the mount next to the slots so that the tiny heads on the screws would have something to hold after every screw popped right through the slot while hand-tightening. Note that the drywall anchor screw heads are larger so all of the people mounting doorbells to drywall for some reason should get a decent hold at least.<br><br>3. Insecure.<br><br>Physically, this thing is trivial to pull from the wall and take, although I don't expect most people would since the devices do get registered. But if someone decided that it would be funny to rip the device off of the wall and throw it into the street, that would kill 3-4 seconds of their day and $150 of your wallet. The battery takes about two seconds to remove; there is a small screw hole to secure it, although no screw included unless you're expected to use one of the battery and only one to hold the unit to the mounting plate. So by default, they make for a very easy way for the unscrupulous to get extra batteries for their own doorbell.<br><br>As far as software, it really goes out of it's way to farm out your personal information. Before you can even get to useful technical info, they're prompting for personal details to shove into their servers and inevitably leak out to the world, at least whatever info they aren't simply selling. And you have to expose some personal info just to get basic functionality since using the doorbell attached to your house and viewing the video through that camera on your house requires going through Ring via the Internet unless you pony up a lot more money.<br><br>There is no local storage. To get a simulation of local storage, you have to buy a completely different piece of hardware AND subscribe to an additional service. Keeping with the theme of the Ring app being more of a marketing tool than a tool to help manage your home.<br><br>They push a feature called Neighbors that tries to get you to expose more info to the people with the easiest access to your home under the guise of improving security. Admittedly, Ring is probably more concerned with targeting people in secured enclaves who don't actually need any sort of extra security but want something to deal with people at the door. But it does get marketed to everyone so something to be very aware of for the rest of the human race.<br><br>If you think that calling the app a marketing tool is an exaggeration, the main app page has an ad for another Ring product that takes up more space than the preview of the last pic taken by the camera and the managing icons above that preview. Above that, the top bar of the screen exists just to push the Neighbors function.<br><br>-----------------------<br><br>Not to say that it's all bad. The camera view doesn't reach the ground in front of the doorbell so not great for spotting packages stuck in front of the door, but image quality is solid otherwise. I'd say that the image quality is comparable to my ~$25 Wyze cameras. The rechargeable batteries are handy to manage with built-in micro-USB ports and quick-release buttons for quick swaps.<br><br>If the unit was available standalone and had an alternative to using it other than by feeding yet another avenue for identity theft then I could see them being a very handy part of a home automation setup. But it isn't standalone and does require farming out your info just to get very basic functionality.<br><br>In conclusion, I'd only recommend the Ring doorbell to someone whom I wanted to severely annoy and potentially rob, unless they were sufficiently handy and tech saavy to secure it despite the best efforts of Ring, in which case I'd just tell them to spend less money on something better. It's a shame because the basic doorbell/camera unit seems pretty good but everything around it is trash.","Reviewed in the United States on March 17, 2024","Configuration: Doorbell only","Verified Purchase","22 people found this helpful","","","[]","[]"
"RDAPESQOI1F3F","Jaz","https://www.amazon.com/gp/profile/amzn1.account.AGFBRSZKRYFV7W2SNAKCYJQFRWUQ/ref=cm_cr_arp_d_gw_btm?ie=UTF8","5","","https://www.amazon.com/gp/customer-reviews/RDAPESQOI1F3F/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B09WZBPX7K","B09WZBPX7K","we recently bought a Ring doorbell based on a recommendation from our son. (we ended up with a battery doorbell plus which we're happy with but that's not how things started out)<br><br>We first bought a wired one because we already have a transformer, wires and an antique doorbell with 4 foot chimes that we wanted to maintain.<br><br>However, the first one stopped working after a day and amazon support told us to exchange it that it was defective. Second one did exactly the same thing. I measured the voltage and it was 19.5v which is within the parameters of the device but - as the wiring in the house is over 75 years old, I'm thinking possibly the transformer or wiring is bad and either periodically shorting or developing spikes and ruining the device.<br><br>When it stops working, it cannot be reset. Even the factory reset fails.<br><br>I exchanged it for a battery unit (we had to buy an amazon chime as well) and it's worked perfectly for the last week so we're very happy.<br><br>It's too bad they don't make a wifi mechanical device that can trigger our existing antique chime.<br><br>We're probably going to add some other security features like cameras, lights, sensors too.<br><br>one thing to note is that the camera lens on the plus is much wider than the one on the wired doorbell plus which couldn't even see the porch unless we angled it downward. That may be a plus for identifying people if you can get it aimed properly.<br><br>One negative, it will register someone at the door if they are walking by our house...","Reviewed in the United States on May 11, 2024","Configuration: Doorbell only","Verified Purchase","5 people found this helpful","","","[]","[]"
