"id","username","profileURL","rating","title","review_url","asin","content","date","format_strip","verified","helpful","videoURL","video_cover_url","imgs","normalImgs"
"R1JUROFO3QPSO9","Clement","https://www.amazon.com/gp/profile/amzn1.account.AGOOPV7CQHY44A5HKX32CPB7ZCRA/ref=cm_cr_arp_d_gw_btm?ie=UTF8","5","","https://www.amazon.com/gp/customer-reviews/R1JUROFO3QPSO9/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B0BJMV9BXJ","B0BJMV9BXJ","The convenience of simply tossing one into the laundry without measuring detergent is a game-changer. Not only do they clean my clothes thoroughly, but the Spring Meadow scent leaves them smelling fresh for days. With so many pods in one pack, it's a great value for the price. I highly recommend these Tide PODS for anyone looking for a hassle-free laundry solution!","Reviewed in the United States on May 14, 2024","Size: 112 Count (Pack of 1)<i class=""a-icon a-icon-text-separator"" role=""img"" aria-label=""|""></i>Scent: Spring Meadow","Verified Purchase","7 people found this helpful","","","[]","[]"
"R6FCQJ4TDO2LM","JACK","https://www.amazon.com/gp/profile/amzn1.account.AFHVXEYVUOIMWLQSENN6EFJ266CQ/ref=cm_cr_arp_d_gw_btm?ie=UTF8","5","","https://www.amazon.com/gp/customer-reviews/R6FCQJ4TDO2LM/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B0BJMV9BXJ","B0BJMV9BXJ","Tide PODS in Spring Meadow scent have truly transformed my laundry routine. The convenience of just tossing one pod into the washer without any measuring has been a game-changer for me. Not only do they clean my clothes thoroughly, but the fresh Spring Meadow scent lasts for days, leaving my laundry smelling wonderfully fresh. Tide Power Pods deliver powerful cleaning with every load, ensuring my clothes come out spotless and smelling great. The pre-measured pods eliminate the mess and guesswork of traditional detergent, making laundry day much simpler and more enjoyable.","Reviewed in the United States on June 22, 2024","Size: 112 Count (Pack of 1)<i class=""a-icon a-icon-text-separator"" role=""img"" aria-label=""|""></i>Scent: Spring Meadow","Verified Purchase","One person found this helpful","","","[]","[]"
"RYBBCIGJJPU8M","Layla Tigress","https://www.amazon.com/gp/profile/amzn1.account.AFYG6YJKMYRPHFI6ZPV46T3VO3PQ/ref=cm_cr_arp_d_gw_btm?ie=UTF8","5","","https://www.amazon.com/gp/customer-reviews/RYBBCIGJJPU8M/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B0BJMV9BXJ","B0BJMV9BXJ","These are worth it. They are easy and no fuss. One pod does clean up to a large load , and doesn’t affect colors but is a neutral scent. If you like a scent, I recommend buying fabric softener or the fabric softener beads, using these pods it will not over power the added scent. This pod will remove stains in white but if want extra “white”, this pod works well with additions , I.e. “hydrogen peroxide “, etc.","Reviewed in the United States on July 5, 2024","Size: 112 Count (Pack of 1)<i class=""a-icon a-icon-text-separator"" role=""img"" aria-label=""|""></i>Scent: Spring Meadow","Verified Purchase","One person found this helpful","","","[]","[]"
"R1A9UUO20TEZGI","Amber Waldrop","https://www.amazon.com/gp/profile/amzn1.account.AFNPNLJ34BN67YLEZTCC5KXGC57A/ref=cm_cr_arp_d_gw_btm?ie=UTF8","5","","https://www.amazon.com/gp/customer-reviews/R1A9UUO20TEZGI/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B0BJMV9BXJ","B0BJMV9BXJ","Eco friendly, great smell, cleaned my clothes","Reviewed in the United States on July 7, 2024","Size: 112 Count (Pack of 1)<i class=""a-icon a-icon-text-separator"" role=""img"" aria-label=""|""></i>Scent: Spring Meadow","Verified Purchase","","","","[]","[]"
"R2V235B809XEOV","love life","https://www.amazon.com/gp/profile/amzn1.account.AECYDYFOXBSENAY4TLF6CQTFAHWA/ref=cm_cr_arp_d_gw_btm?ie=UTF8","5","","https://www.amazon.com/gp/customer-reviews/R2V235B809XEOV/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B0BJMV9BXJ","B0BJMV9BXJ","Tide Power Pods have revolutionized my laundry routine. They are incredibly convenient and deliver powerful cleaning with every load. Clothes come out smelling fresh and looking spotless. The pre-measured pods mean no more mess or guesswork. Highly recommend for anyone looking for an effective laundry solution.","Reviewed in the United States on June 4, 2024","Size: 112 Count (Pack of 1)<i class=""a-icon a-icon-text-separator"" role=""img"" aria-label=""|""></i>Scent: Spring Meadow","Verified Purchase","3 people found this helpful","","","[]","[]"
"R2SYD17FIFMH7F","TT","https://www.amazon.com/gp/profile/amzn1.account.AER4A3NNZBX6HREB5TLHP3FCL4PQ/ref=cm_cr_arp_d_gw_btm?ie=UTF8","4","","https://www.amazon.com/gp/customer-reviews/R2SYD17FIFMH7F/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B0BJMV9BXJ","B0BJMV9BXJ","I always buy this one","Reviewed in the United States on May 2, 2024","Size: 112 Count (Pack of 1)<i class=""a-icon a-icon-text-separator"" role=""img"" aria-label=""|""></i>Scent: Spring Meadow","Verified Purchase","","","","[]","[]"
"RFIYB66FVHHAH","Glenda Dawson","https://www.amazon.com/gp/profile/amzn1.account.AHWSWEGSRGKYJEHAHTR6PM6AOT3A/ref=cm_cr_arp_d_gw_btm?ie=UTF8","5","","https://www.amazon.com/gp/customer-reviews/RFIYB66FVHHAH/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B0BJMV9BXJ","B0BJMV9BXJ","I use this detergent for all my laundry needs and it does a great job of cleaning everything.","Reviewed in the United States on June 26, 2024","Size: 112 Count (Pack of 1)<i class=""a-icon a-icon-text-separator"" role=""img"" aria-label=""|""></i>Scent: Spring Meadow","Verified Purchase","","","","[]","[]"
"ROCMUS7XBPAKR","girolama pirrone","https://www.amazon.com/gp/profile/amzn1.account.AEWJ55IKLKNQF7R2CPBEYYJA32AQ/ref=cm_cr_arp_d_gw_btm?ie=UTF8","5","","https://www.amazon.com/gp/customer-reviews/ROCMUS7XBPAKR/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B0BJMV9BXJ","B0BJMV9BXJ","Soft on skin. Cleans clothes great. The weight of bottle is very easy to carry. The smell is excellent on your clothes.","Reviewed in the United States on June 3, 2024","Size: 112 Count (Pack of 1)<i class=""a-icon a-icon-text-separator"" role=""img"" aria-label=""|""></i>Scent: Spring Meadow","Verified Purchase","3 people found this helpful","","","[]","[]"
"R17NRX36I5KCZO","Melinda L. Reese","https://www.amazon.com/gp/profile/amzn1.account.AFESSVWCYYSY3OO4ZNZ7RX4DBS2Q/ref=cm_cr_arp_d_gw_btm?ie=UTF8","5","","https://www.amazon.com/gp/customer-reviews/R17NRX36I5KCZO/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B0BJMV9BXJ","B0BJMV9BXJ","These Tide detergent pods are so darn convenient!  When I started using these, I knew I could depend on the reputation Tide has for getting the dirtiest clothes super clean.  I didn’t expect I’d love it more than the liquid detergent,  but I really do!  Convenience is the name of the game, and I just love reaching in and throwing a pod in the washer and voila!  The only time I use two pods is when I have a full load of towels or a full load of sheets.  I’ve been using these for over ten years and don’t plan to stop.","Reviewed in the United States on July 1, 2024","Size: 112 Count (Pack of 1)<i class=""a-icon a-icon-text-separator"" role=""img"" aria-label=""|""></i>Scent: Spring Meadow","Verified Purchase","","","","[]","[]"
"R25315A4TZCX7M","Debbie","https://www.amazon.com/gp/profile/amzn1.account.AH7V3L23GRJ5XOF3KKZVKDZPVOAQ/ref=cm_cr_arp_d_gw_btm?ie=UTF8","5","","https://www.amazon.com/gp/customer-reviews/R25315A4TZCX7M/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B0BJMV9BXJ","B0BJMV9BXJ","I love the price and convenience of delivery. I love it so much that I bought it as a subscription. As long as the price doesn’t fluctuate much, I will continue my subscription. I am totally satisfied!","Reviewed in the United States on July 1, 2024","Size: 112 Count (Pack of 1)<i class=""a-icon a-icon-text-separator"" role=""img"" aria-label=""|""></i>Scent: Spring Meadow","Verified Purchase","","","","[]","[]"
